Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
1,Faculty of Science,P,PSYC5001,Introduction to Psychology 1,065551,1,2024,Hexamester 1,1,24H1,20241,False,,,,,2.5,35.0,32.5,30.0,,,,,,,,,,,,,,,,,0.0,2.5,35.0,32.5,30.0,False,,55.0
2,Faculty of Science,P,PSYC5003,Data Analysis & Psych Inquiry,065550,1,2024,Hexamester 1,1,24H1,20241,False,11.76,,,,,47.06,23.53,17.65,,,,,,,,,,,,,11.76,,,,11.76,0.0,47.06,23.53,17.65,False,,29.42
3,Faculty of Science,P,PSYC5004,Advanced Data Analysis,065563,1,2024,Hexamester 1,1,24H1,20241,False,,,7.69,,30.77,7.69,30.77,15.38,,7.69,,,,,,,,,,,7.69,7.69,,,8.33,33.33,8.33,33.33,16.66,False,,27.08
4,Faculty of Science,P,PSYC5005,Behavioural Neuroscience,065562,1,2024,Hexamester 1,1,24H1,20241,False,,,,,11.11,33.33,22.22,33.33,,,,,,,,,,,,,,,,,0.0,11.11,33.33,22.22,33.33,False,,52.77
5,Faculty of Science,P,PSYC5006,Psychology Across the Lifespan,065561,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,33.33,33.33,33.33,,,,,,,,,,,,,,,,,0.0,0.0,33.33,33.33,33.33,False,,58.33
6,Faculty of Science,P,PSYC5007,"Individual, Culture & Society",065560,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,29.41,70.59,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,70.59,0.0,False,,42.65
7,Faculty of Science,P,PSYC5008,Perception and Cognition,065559,1,2024,Hexamester 1,1,24H1,20241,False,,,,,6.25,31.25,37.5,25.0,,,,,,,,,,,,,,,,,0.0,6.25,31.25,37.5,25.0,False,,51.56
8,Faculty of Science,P,PSYC5009,Abnormal Psychology,065558,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,68.75,31.25,,,,,,,,,,,,,,,,,,0.0,0.0,68.75,31.25,0.0,False,,32.81
9,Faculty of Science,P,PSYC5010,"Psychological Assessment, Ethi",065557,1,2024,Hexamester 1,1,24H1,20241,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
10,Faculty of Science,P,PSYC5116,Wellbeing and Resilience,066390,1,2024,Hexamester 1,1,24H1,20241,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
11,UNSW Business School,P (Online),ZZBU6003,Business Economics,066514,1,2024,Hexamester 1,1,24H1,20241,False,7.59,,5.06,,3.8,6.33,16.46,56.96,3.8,,,,,,,,,,,,12.65,3.8,,,13.15,3.95,6.58,17.11,59.21,False,,56.26
12,UNSW Business School,P (Online),ZZBU6006,Strategies for Disruption,066516,1,2024,Hexamester 1,1,24H1,20241,False,,,4.35,,4.35,26.09,60.87,4.35,,,,,,,,,,,,,4.35,,,,4.35,4.35,26.09,60.87,4.35,False,,36.96
13,UNSW Business School,P (Online),ZZBU6103,Entrepreneurship & Innovation,066591,1,2024,Hexamester 1,1,24H1,20241,False,6.67,,3.33,,6.67,23.33,40.0,20.0,,,,,,,,,,,,,10.0,,,,10.0,6.67,23.33,40.0,20.0,False,,35.83
14,UNSW Business School,P (Online),ZZBU6404,HR Analytics,067186,1,2024,Hexamester 1,1,24H1,20241,False,6.25,,,,18.75,56.25,12.5,,6.25,,,,,,,,,,,,6.25,6.25,,,6.67,20.0,60.0,13.33,0.0,False,,15.0
15,UNSW Business School,P (Online),ZZBU6409,Change Management,067204,1,2024,Hexamester 1,1,24H1,20241,False,6.25,,6.25,,4.69,48.44,28.13,,3.13,1.56,,,,,,,,,,1.56,12.5,4.69,,1.56,13.12,4.92,50.82,29.51,0.0,False,,14.34
16,UNSW Business School,P (Online),ZZBU6503,Mging People Analytics Change,065975,1,2024,Hexamester 1,1,24H1,20241,False,4.69,,3.13,,21.88,25.0,28.13,12.5,4.69,,,,,,,,,,,,7.82,4.69,,,8.2,22.96,26.23,29.51,13.12,False,,26.23
17,UNSW Business School,P (Online),ZZBU6507,Data Visualistn & Communictn,065972,1,2024,Hexamester 1,1,24H1,20241,False,3.33,,,,1.11,13.33,53.33,26.67,2.22,,,,,,,,,,,,3.33,2.22,,,3.41,1.14,13.63,54.54,27.28,False,,54.55
18,UNSW Business School,P (Online),ZZBU6513,Social Media & Dgtl Analytics,066381,1,2024,Hexamester 1,1,24H1,20241,False,5.71,,,,20.0,34.29,28.57,11.43,,,,,,,,,,,,,5.71,,,,5.71,20.0,34.29,28.57,11.43,False,,28.58
19,UNSW Business School,P (Online),ZZBU6601,General Analytics Capstone,066018,1,2024,Hexamester 1,1,24H1,20241,False,,,,,10.0,25.0,40.0,15.0,10.0,,,,,,,,,,,,,10.0,,,0.0,11.11,27.78,44.44,16.67,False,,45.84
20,UNSW Business School,P (Online),ZZBU8503,RegTech Applications,066360,1,2024,Hexamester 1,1,24H1,20241,False,,,,,,45.45,36.36,18.18,,,,,,,,,,,,,,,,,0.0,0.0,45.45,36.36,18.18,False,,47.72
21,UNSW Business School,P (Online),ZZBU8504,Technical Tools for FinTech,066352,1,2024,Hexamester 1,1,24H1,20241,False,,,4.35,,8.7,4.35,4.35,78.26,,,,,,,,,,,,,4.35,,,,4.35,8.7,4.35,4.35,78.26,False,,77.17
22,UNSW Business School,P (Online),ZZBU8509,Tech Disr in Funding & Lending,066350,1,2024,Hexamester 1,1,24H1,20241,False,,,,,6.25,31.25,43.75,18.75,,,,,,,,,,,,,,,,,0.0,6.25,31.25,43.75,18.75,False,,48.44
23,UNSW Business School,P (Online),ZZBU8702,Corporate Finance,066614,1,2024,Hexamester 1,1,24H1,20241,False,7.37,,2.11,,16.84,31.58,28.42,9.47,4.21,,,,,,,,,,,,9.48,4.21,,,9.9,17.58,32.97,29.67,9.89,False,,23.07
24,UNSW Business School,P (Online),ZZBU8704,Private Equity and Venture Cap,066616,1,2024,Hexamester 1,1,24H1,20241,False,0.66,,1.32,,3.29,17.11,48.68,22.37,5.92,0.66,,,,,,,,,,,1.98,6.58,,,2.12,3.52,18.32,52.11,23.95,False,,52.46
25,UNSW Canberra at ADFA,P (Online),ZZCA6510,Decision Making in Analytics,066019,1,2024,Hexamester 1,1,24H1,20241,False,5.56,,,,6.94,20.83,36.11,25.0,4.17,1.39,,,,,,,,,,,5.56,5.56,,,5.89,7.35,22.06,38.24,26.47,False,,45.22
26,UNSW Canberra at ADFA,P (Online),ZZCA9204,Cybersecurity Ethics,066372,1,2024,Hexamester 1,1,24H1,20241,False,9.28,,1.03,,18.56,34.02,31.96,5.15,,,,,,,,,,,,,10.31,,,,10.31,18.56,34.02,31.96,5.15,False,,19.33
27,UNSW Canberra at ADFA,P (Online),ZZCA9205,Cyber Operations,066373,1,2024,Hexamester 1,1,24H1,20241,False,2.2,,,,9.89,19.78,43.96,24.18,,,,,,,,,,,,,2.2,,,,2.2,9.89,19.78,43.96,24.18,False,,48.91
28,UNSW Canberra at ADFA,P (Online),ZZCA9211,Digital Forensics,066369,1,2024,Hexamester 1,1,24H1,20241,False,,,,,18.18,54.55,27.27,,,,,,,,,,,,,,,,,,0.0,18.18,54.55,27.27,0.0,False,,27.27
29,Faculty of Engineering,P (Online),ZZEN9201,Foundationscybersecurity,066447,1,2024,Hexamester 1,1,24H1,20241,False,15.0,,,,10.0,15.0,40.0,5.0,15.0,,,,,,,,,,,,15.0,15.0,,,17.65,11.76,17.65,47.06,5.88,False,,16.17
30,Faculty of Engineering,P (Online),ZZEN9444,"Neural Networks, Deep Learning",066498,1,2024,Hexamester 1,1,24H1,20241,False,1.92,,,,5.77,23.08,38.46,28.85,,1.92,,,,,,,,,,,1.92,1.92,,,1.96,5.88,23.53,39.21,29.41,False,,52.94
31,Faculty of Science,P (Online),ZZSC5806,Regress Analysis for Data Sci,066015,1,2024,Hexamester 1,1,24H1,20241,False,1.61,,,,12.9,20.97,30.65,33.87,,,,,,,,,,,,,1.61,,,,1.61,12.9,20.97,30.65,33.87,False,,52.83
32,Faculty of Science,P (Online),ZZSC9001,Foundations of Data Science,066078,1,2024,Hexamester 1,1,24H1,20241,False,3.61,,2.41,,18.07,15.66,31.33,27.71,1.2,,,,,,,,,,,,6.02,1.2,,,6.09,18.29,15.85,31.71,28.05,False,,41.78
33,Faculty of Science,P,PSYC5002,Introduction to Psychology 2,065549,1,2024,Hexamester 2,2,24H2,20242,False,3.77,,,,7.55,20.75,43.4,18.87,5.66,,,,,,,,,,,,3.77,5.66,,,4.0,8.0,21.99,46.0,20.0,False,,44.5
34,Faculty of Science,P,PSYC5003,Data Analysis & Psych Inquiry,065550,1,2024,Hexamester 2,2,24H2,20242,False,,,5.88,,,35.29,29.41,29.41,,,,,,,,,,,,,5.88,,,,5.88,0.0,35.29,29.41,29.41,False,,47.06
35,Faculty of Science,P,PSYC5004,Advanced Data Analysis,065563,1,2024,Hexamester 2,2,24H2,20242,False,,,,,41.18,17.65,35.29,,,5.88,,,,,,,,,,,,5.88,,,0.0,43.75,18.75,37.49,0.0,False,,23.43
36,Faculty of Science,P,PSYC5005,Behavioural Neuroscience,065562,1,2024,Hexamester 2,2,24H2,20242,False,,,,,,28.57,28.57,35.71,7.14,,,,,,,,,,,,,7.14,,,0.0,0.0,30.77,30.77,38.46,False,,61.54
37,Faculty of Science,P,PSYC5006,Psychology Across the Lifespan,065561,1,2024,Hexamester 2,2,24H2,20242,False,,,6.25,,25.0,25.0,37.5,6.25,,,,,,,,,,,,,6.25,,,,6.25,25.0,25.0,37.5,6.25,False,,25.0
38,Faculty of Science,P,PSYC5007,"Individual, Culture & Society",065560,1,2024,Hexamester 2,2,24H2,20242,False,,,,,,21.05,73.68,5.26,,,,,,,,,,,,,,,,,0.0,0.0,21.05,73.68,5.26,False,,47.36
39,Faculty of Science,P,PSYC5008,Perception and Cognition,065559,1,2024,Hexamester 2,2,24H2,20242,False,,,,,8.33,37.5,33.33,16.67,,4.17,,,,,,,,,,,,4.17,,,0.0,8.69,39.13,34.78,17.4,False,,44.57
40,Faculty of Science,P,PSYC5009,Abnormal Psychology,065558,1,2024,Hexamester 2,2,24H2,20242,False,,,,,9.09,22.73,27.27,36.36,,4.55,,,,,,,,,,,,4.55,,,0.0,9.52,23.81,28.57,38.09,False,,58.33
41,Faculty of Science,P,PSYC5010,"Psychological Assessment, Ethi",065557,1,2024,Hexamester 2,2,24H2,20242,False,,,,,6.67,33.33,46.67,13.33,,,,,,,,,,,,,,,,,0.0,6.67,33.33,46.67,13.33,False,,45.0
42,Faculty of Science,P,PSYC5112,Introduction to Psychology,066394,1,2024,Hexamester 2,2,24H2,20242,False,,,,,,7.69,38.46,38.46,15.38,,,,,,,,,,,,,15.38,,,0.0,0.0,9.09,45.45,45.45,False,,70.45
43,UNSW Business School,P (Online),ZZBU6004,Foundations of Marketing,066515,1,2024,Hexamester 2,2,24H2,20242,False,9.8,,5.88,,9.8,29.41,35.29,1.96,5.88,,,,,,,,,,,1.96,15.68,5.88,,1.96,16.66,10.41,31.25,37.49,2.08,False,,11.98
44,UNSW Business School,P (Online),ZZBU6005,"Law, Regulation and Ethics",066517,1,2024,Hexamester 2,2,24H2,20242,False,8.51,,,,17.02,34.04,31.91,,6.38,,,,,,,,,,,2.13,8.51,6.38,,2.13,9.09,18.18,36.36,34.08,0.0,False,,17.04
45,UNSW Business School,P (Online),ZZBU6007,Career Navigator,066518,1,2024,Hexamester 2,2,24H2,20242,False,3.45,,,,,,,,,,,,,96.55,,,,,,,3.45,,96.55,,3.45,0.0,0.0,0.0,0.0,True,Non-standard (competency) grading: SY 96.5%,
46,UNSW Business School,P (Online),ZZBU6403,Sustainability & HR,067189,1,2024,Hexamester 2,2,24H2,20242,False,4.76,,2.38,,2.38,35.71,42.86,7.14,4.76,,,,,,,,,,,,7.14,4.76,,,7.5,2.5,37.49,45.0,7.5,False,,31.87
47,UNSW Business School,P (Online),ZZBU6405,"Attract, Eval & Retain Talent",067180,1,2024,Hexamester 2,2,24H2,20242,False,5.88,,5.88,,14.71,35.29,20.59,5.88,11.76,,,,,,,,,,,,11.76,11.76,,,13.33,16.67,39.99,23.33,6.66,False,,14.99
48,UNSW Business School,P (Online),ZZBU6407,HR Info Systems,067192,1,2024,Hexamester 2,2,24H2,20242,False,5.0,,5.0,,,30.0,50.0,10.0,,,,,,,,,,,,,10.0,,,,10.0,0.0,30.0,50.0,10.0,False,,32.5
49,UNSW Business School,P (Online),ZZBU6501,Introductory Data Analysis,065976,1,2024,Hexamester 2,2,24H2,20242,False,6.67,,3.33,,5.0,15.0,25.0,41.67,3.33,,,,,,,,,,,,10.0,3.33,,,10.34,5.17,15.52,25.86,43.11,False,,49.58
50,UNSW Business School,P (Online),ZZBU6505,Data and Ethics,065973,1,2024,Hexamester 2,2,24H2,20242,False,3.23,,,,12.9,43.01,35.48,2.15,3.23,,,,,,,,,,,,3.23,3.23,,,3.34,13.33,44.45,36.66,2.22,False,,28.32
51,UNSW Business School,P (Online),ZZBU6508,Analytics and Consulting,066021,1,2024,Hexamester 2,2,24H2,20242,False,,,3.33,,3.33,20.0,63.33,6.67,3.33,,,,,,,,,,,,3.33,3.33,,,3.44,3.44,20.69,65.51,6.9,False,,41.39
52,UNSW Business School,P (Online),ZZBU6512,Foundation Marketing Analytics,066382,1,2024,Hexamester 2,2,24H2,20242,False,,,,,,27.27,63.64,9.09,,,,,,,,,,,,,,,,,0.0,0.0,27.27,63.64,9.09,False,,47.73
53,UNSW Business School,P (Online),ZZBU6516,Database Management,067082,1,2024,Hexamester 2,2,24H2,20242,False,7.69,,,,15.38,23.08,30.77,23.08,,,,,,,,,,,,,7.69,,,,7.69,15.38,23.08,30.77,23.08,False,,36.55
54,UNSW Business School,P (Online),ZZBU8501,FinTech Ecosystem & In Insight,066356,1,2024,Hexamester 2,2,24H2,20242,False,,,,,,,56.0,40.0,4.0,,,,,,,,,,,,,4.0,,,0.0,0.0,0.0,58.33,41.67,False,,70.84
55,UNSW Business School,P (Online),ZZBU8502,Decentralised Finance,066353,1,2024,Hexamester 2,2,24H2,20242,False,6.67,,,,3.33,10.0,63.33,16.67,,,,,,,,,,,,,6.67,,,,6.67,3.33,10.0,63.33,16.67,False,,44.16
56,UNSW Business School,P (Online),ZZBU8601,Managing a FinTech Startup,066349,1,2024,Hexamester 2,2,24H2,20242,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
57,UNSW Business School,P (Online),ZZBU8701,Portfolio Management,066613,1,2024,Hexamester 2,2,24H2,20242,False,9.01,,,,12.61,17.12,29.73,27.03,4.5,,,,,,,,,,,,9.01,4.5,,,9.43,13.2,17.93,31.13,28.3,False,,38.92
58,UNSW Business School,P (Online),ZZBU8706,Fixed Income,066718,1,2024,Hexamester 2,2,24H2,20242,False,1.5,,,,4.51,11.28,30.08,48.87,3.76,,,,,,,,,,,,1.5,3.76,,,1.56,4.69,11.72,31.26,50.78,False,,67.78
59,UNSW Canberra at ADFA,P (Online),ZZCA9206,Cyber Risk Resilience,066370,1,2024,Hexamester 2,2,24H2,20242,False,4.0,,,,9.33,49.33,33.33,,2.67,,,,,,,,,,,1.33,4.0,2.67,,1.33,4.11,9.59,50.68,34.24,0.0,False,,25.68
60,Faculty of Engineering,P (Online),ZZEN9021,Principles of Programming,066097,1,2024,Hexamester 2,2,24H2,20242,False,2.84,,,,13.07,18.18,37.5,26.7,1.7,,,,,,,,,,,,2.84,1.7,,,2.89,13.3,18.49,38.15,27.16,False,,47.97
61,Faculty of Engineering,P (Online),ZZEN9201,Foundationscybersecurity,066447,1,2024,Hexamester 2,2,24H2,20242,False,24.32,,,,8.11,13.51,35.14,16.22,2.7,,,,,,,,,,,,24.32,2.7,,,24.99,8.34,13.88,36.12,16.67,False,,13.21
62,Faculty of Engineering,P (Online),ZZEN9203,principlessecengineering,066417,1,2024,Hexamester 2,2,24H2,20242,False,8.0,,,,24.0,26.67,26.67,6.67,6.67,1.33,,,,,,,,,,,8.0,8.0,,,8.7,26.09,28.99,28.99,7.25,False,,20.29
63,Faculty of Engineering,P (Online),ZZEN9213,Penetration Testing,066564,1,2024,Hexamester 2,2,24H2,20242,False,,,,,5.17,15.52,56.9,20.69,1.72,,,,,,,,,,,,,1.72,,,0.0,5.26,15.79,57.9,21.05,False,,53.95
64,Faculty of Science,P (Online),ZZSC5960,Bayesian Inf for Data Sci,066012,1,2024,Hexamester 2,2,24H2,20242,False,2.2,,,,3.3,9.89,25.27,58.24,1.1,,,,,,,,,,,,2.2,1.1,,,2.22,3.34,10.0,25.55,58.89,False,,71.95
65,Faculty of Science,P (Online),ZZSC9020,Data Science Project,066077,1,2024,Hexamester 2,2,24H2,20242,False,,,,,,,45.61,54.39,,,,,,,,,,,,,,,,,0.0,0.0,0.0,45.61,54.39,False,,77.19
66,Faculty of Science,P,PSYC5001,Introduction to Psychology 1,065551,1,2024,Hexamester 3,3,24H3,20243,False,3.03,,3.03,,9.09,36.36,33.33,15.15,,,,,,,,,,,,,6.06,,,,6.06,9.09,36.36,33.33,15.15,False,,34.84
67,Faculty of Science,P,PSYC5003,Data Analysis & Psych Inquiry,065550,1,2024,Hexamester 3,3,24H3,20243,False,7.14,,,,14.29,35.71,28.57,14.29,,,,,,,,,,,,,7.14,,,,7.14,14.29,35.71,28.57,14.29,False,,30.36
68,Faculty of Science,P,PSYC5004,Advanced Data Analysis,065563,1,2024,Hexamester 3,3,24H3,20243,False,7.14,,,,28.57,14.29,35.71,,14.29,,,,,,,,,,,,7.14,14.29,,,8.33,33.33,16.67,41.66,0.0,False,,16.67
69,Faculty of Science,P,PSYC5005,Behavioural Neuroscience,065562,1,2024,Hexamester 3,3,24H3,20243,False,,,,,23.08,7.69,38.46,30.77,,,,,,,,,,,,,,,,,0.0,23.08,7.69,38.46,30.77,False,,51.92
70,Faculty of Science,P,PSYC5006,Psychology Across the Lifespan,065561,1,2024,Hexamester 3,3,24H3,20243,False,,,,,6.67,33.33,46.67,13.33,,,,,,,,,,,,,,,,,0.0,6.67,33.33,46.67,13.33,False,,45.0
71,Faculty of Science,P,PSYC5007,"Individual, Culture & Society",065560,1,2024,Hexamester 3,3,24H3,20243,False,7.14,,,,,21.43,57.14,14.29,,,,,,,,,,,,,7.14,,,,7.14,0.0,21.43,57.14,14.29,False,,41.08
72,Faculty of Science,P,PSYC5008,Perception and Cognition,065559,1,2024,Hexamester 3,3,24H3,20243,False,,,4.55,,,40.91,45.45,9.09,,,,,,,,,,,,,4.55,,,,4.55,0.0,40.91,45.45,9.09,False,,37.49
73,Faculty of Science,P,PSYC5009,Abnormal Psychology,065558,1,2024,Hexamester 3,3,24H3,20243,False,,,,,5.26,47.37,36.84,10.53,,,,,,,,,,,,,,,,,0.0,5.26,47.37,36.84,10.53,False,,40.79
74,Faculty of Science,P,PSYC5010,"Psychological Assessment, Ethi",065557,1,2024,Hexamester 3,3,24H3,20243,False,4.55,,,,13.64,27.27,27.27,27.27,,,,,,,,,,,,,4.55,,,,4.55,13.64,27.27,27.27,27.27,False,,43.17
75,Faculty of Science,P,PSYC5111,Evaluating Evidence,066395,1,2024,Hexamester 3,3,24H3,20243,False,,,,,,18.18,54.55,27.27,,,,,,,,,,,,,,,,,0.0,0.0,18.18,54.55,27.27,False,,59.09
76,UNSW Business School,P (Online),ZZBU6001,Managing Yourself and Others,066512,1,2024,Hexamester 3,3,24H3,20243,False,14.52,,,,3.23,17.74,58.06,4.84,,1.61,,,,,,,,,,,14.52,1.61,,,14.76,3.28,18.03,59.01,4.92,False,,24.17
77,UNSW Business School,P (Online),ZZBU6101,Digital Technology Management,066520,1,2024,Hexamester 3,3,24H3,20243,False,,,,,2.5,40.0,55.0,,2.5,,,,,,,,,,,,,2.5,,,0.0,2.56,41.03,56.41,0.0,False,,38.46
78,UNSW Business School,P (Online),ZZBU6401,HR Policies & Practices,067185,1,2024,Hexamester 3,3,24H3,20243,False,5.0,,3.33,,11.67,36.67,30.0,8.33,5.0,,,,,,,,,,,,8.33,5.0,,,8.77,12.28,38.6,31.58,8.77,False,,25.44
79,UNSW Business School,P (Online),ZZBU6406,"Diversity, Equity & Inclusion",067187,1,2024,Hexamester 3,3,24H3,20243,False,4.0,,8.0,,8.0,32.0,40.0,4.0,4.0,,,,,,,,,,,,12.0,4.0,,,12.5,8.33,33.33,41.67,4.17,False,,20.84
80,UNSW Business School,P (Online),ZZBU6411,Organisational Development,067182,1,2024,Hexamester 3,3,24H3,20243,False,2.63,,2.63,,,39.47,39.47,13.16,,2.63,,,,,,,,,,,5.26,2.63,,,5.4,0.0,40.54,40.54,13.52,False,,38.52
81,UNSW Business School,P (Online),ZZBU6503,Mging People Analytics Change,065975,1,2024,Hexamester 3,3,24H3,20243,False,3.53,,3.53,,15.29,37.65,23.53,15.29,1.18,,,,,,,,,,,,7.06,1.18,,,7.14,15.47,38.1,23.81,15.47,False,,29.76
82,UNSW Business School,P (Online),ZZBU6509,Financial Modelling,066020,1,2024,Hexamester 3,3,24H3,20243,False,3.45,,,,34.48,24.14,13.79,24.14,,,,,,,,,,,,,3.45,,,,3.45,34.48,24.14,13.79,24.14,False,,33.62
83,UNSW Business School,P (Online),ZZBU6511,Predictive Analytics,066051,1,2024,Hexamester 3,3,24H3,20243,False,,,,,8.89,36.67,42.22,8.89,3.33,,,,,,,,,,,,,3.33,,,0.0,9.2,37.93,43.67,9.2,False,,40.52
84,UNSW Business School,P (Online),ZZBU6514,Managing Customer Analytics,066379,1,2024,Hexamester 3,3,24H3,20243,False,,,,,,33.33,52.38,9.52,4.76,,,,,,,,,,,,,4.76,,,0.0,0.0,35.0,55.0,10.0,False,,46.25
85,UNSW Business School,P (Online),ZZBU6601,General Analytics Capstone,066018,1,2024,Hexamester 3,3,24H3,20243,False,,,,,6.67,13.33,73.33,,6.67,,,,,,,,,,,,,6.67,,,0.0,7.15,14.28,78.57,0.0,False,,42.85
86,UNSW Business School,P (Online),ZZBU8506,Data Mgmt for FinTech,066355,1,2024,Hexamester 3,3,24H3,20243,False,,,,,,,38.46,61.54,,,,,,,,,,,,,,,,,0.0,0.0,0.0,38.46,61.54,False,,80.77
87,UNSW Business School,P (Online),ZZBU8508,Tech Disr in Payments & Transf,066351,1,2024,Hexamester 3,3,24H3,20243,False,6.25,,2.08,,10.42,39.58,33.33,6.25,2.08,,,,,,,,,,,,8.33,2.08,,,8.51,10.64,40.42,34.04,6.38,False,,25.0
88,UNSW Business School,P (Online),ZZBU8703,International Finance,066615,1,2024,Hexamester 3,3,24H3,20243,False,6.93,,2.97,,8.91,10.89,33.66,31.68,4.95,,,,,,,,,,,,9.9,4.95,,,10.42,9.37,11.46,35.41,33.33,False,,43.48
89,UNSW Business School,P (Online),ZZBU8708,Ethics and Prof Standards,066720,1,2024,Hexamester 3,3,24H3,20243,False,2.82,,1.41,,4.23,19.01,69.72,2.11,0.7,,,,,,,,,,,,4.23,0.7,,,4.26,4.26,19.14,70.21,2.12,False,,37.75
90,UNSW Canberra at ADFA,P (Online),ZZCA9202,Data Security Privacy,066374,1,2024,Hexamester 3,3,24H3,20243,False,3.06,,3.06,,12.24,24.49,36.73,15.31,5.1,,,,,,,,,,,,6.12,5.1,,,6.45,12.9,25.81,38.7,16.13,False,,35.48
91,UNSW Canberra at ADFA,P (Online),ZZCA9222,Cyber Threats Crime,066368,1,2024,Hexamester 3,3,24H3,20243,False,,,,,8.93,50.0,35.71,3.57,1.79,,,,,,,,,,,,,1.79,,,0.0,9.09,50.91,36.36,3.64,False,,34.55
92,Faculty of Engineering,P (Online),ZZEN9212,Advanced Penetration Testing,066563,1,2024,Hexamester 3,3,24H3,20243,False,3.23,,,,3.23,32.26,41.94,19.35,,,,,,,,,,,,,3.23,,,,3.23,3.23,32.26,41.94,19.35,False,,45.16
93,Faculty of Engineering,P (Online),ZZEN9216,C Assembler Coding,066562,1,2024,Hexamester 3,3,24H3,20243,False,,,,,2.0,6.0,8.0,84.0,,,,,,,,,,,,,,,,,0.0,2.0,6.0,8.0,84.0,False,,89.5
94,Faculty of Engineering,P (Online),ZZEN9311,Database Systems,066096,1,2024,Hexamester 3,3,24H3,20243,False,7.81,,1.56,,15.63,14.06,32.81,25.0,3.13,,,,,,,,,,,,9.37,3.13,,,9.67,16.14,14.51,33.87,25.81,False,,36.7
95,Faculty of Science,P (Online),ZZSC5836,Data Mining & Machine Learning,066016,1,2024,Hexamester 3,3,24H3,20243,False,,,,,5.0,20.0,40.0,32.5,2.5,,,,,,,,,,,,,2.5,,,0.0,5.13,20.51,41.03,33.33,False,,58.97
96,Faculty of Science,P (Online),ZZSC5905,Stat Infer for Data Scientists,066013,1,2024,Hexamester 3,3,24H3,20243,False,4.71,,,,8.24,12.94,28.24,43.53,2.35,,,,,,,,,,,,4.71,2.35,,,4.82,8.44,13.25,28.92,44.58,False,,57.53
97,Faculty of Science,P,PSYC5002,Introduction to Psychology 2,065549,1,2024,Hexamester 4,4,24H4,20244,False,4.17,,,,8.33,16.67,37.5,16.67,16.67,,,,,,,,,,,,4.17,16.67,,,5.0,10.0,20.0,45.0,20.0,False,,42.5
98,Faculty of Science,P,PSYC5003,Data Analysis & Psych Inquiry,065550,1,2024,Hexamester 4,4,24H4,20244,False,6.25,,,,25.0,31.25,25.0,12.5,,,,,,,,,,,,,6.25,,,,6.25,25.0,31.25,25.0,12.5,False,,26.56
99,Faculty of Science,P,PSYC5004,Advanced Data Analysis,065563,1,2024,Hexamester 4,4,24H4,20244,False,4.17,4.17,,,20.83,25.0,25.0,8.33,12.5,,,,,,,,,,,,8.34,12.5,,,9.53,23.81,28.57,28.57,9.52,False,,21.42
100,Faculty of Science,P,PSYC5005,Behavioural Neuroscience,065562,1,2024,Hexamester 4,4,24H4,20244,False,,,,,18.18,27.27,36.36,9.09,9.09,,,,,,,,,,,,,9.09,,,0.0,20.0,30.0,40.0,10.0,False,,37.5
101,Faculty of Science,P,PSYC5006,Psychology Across the Lifespan,065561,1,2024,Hexamester 4,4,24H4,20244,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
102,Faculty of Science,P,PSYC5007,"Individual, Culture & Society",065560,1,2024,Hexamester 4,4,24H4,20244,False,8.33,,,,,25.0,50.0,16.67,,,,,,,,,,,,,8.33,,,,8.33,0.0,25.0,50.0,16.67,False,,39.59
103,Faculty of Science,P,PSYC5008,Perception and Cognition,065559,1,2024,Hexamester 4,4,24H4,20244,False,,,,,20.0,20.0,46.67,13.33,,,,,,,,,,,,,,,,,0.0,20.0,20.0,46.67,13.33,False,,41.66
104,Faculty of Science,P,PSYC5009,Abnormal Psychology,065558,1,2024,Hexamester 4,4,24H4,20244,False,5.0,,,,5.0,30.0,50.0,5.0,5.0,,,,,,,,,,,,5.0,5.0,,,5.26,5.26,31.58,52.63,5.26,False,,34.21
105,Faculty of Science,P,PSYC5010,"Psychological Assessment, Ethi",065557,1,2024,Hexamester 4,4,24H4,20244,False,,,,,5.0,25.0,40.0,30.0,,,,,,,,,,,,,,,,,0.0,5.0,25.0,40.0,30.0,False,,56.25
106,Faculty of Science,P,PSYC5113,Child Development,066393,1,2024,Hexamester 4,4,24H4,20244,False,,,,,,9.09,63.64,27.27,,,,,,,,,,,,,,,,,0.0,0.0,9.09,63.64,27.27,False,,61.36
