Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
15689,"Faculty of Arts, Design and Architecture",U,SRAP4052,Social Research & Policy Hons,062919,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15690,"Faculty of Arts, Design and Architecture",P,SRAP5018,"Power, politics and policy",064073,1,2021,Term 3,5,21T3,20215,False,,,,,16.67,22.22,44.44,16.67,,,,,,,,,,,,,,,,,0.0,16.67,22.22,44.44,16.67,False,,44.45
15691,"Faculty of Arts, Design and Architecture",P,SRAP5101,Research Methods and Design,064074,1,2021,Term 3,5,21T3,20215,False,,,,,10.0,25.0,45.0,20.0,,,,,,,,,,,,,,,,,0.0,10.0,25.0,45.0,20.0,False,,48.75
15692,"Faculty of Arts, Design and Architecture",P,SRAP5102,Research in the Real World,064075,1,2021,Term 3,5,21T3,20215,False,4.0,,,,20.0,24.0,40.0,12.0,,,,,,,,,,,,,4.0,,,,4.0,20.0,24.0,40.0,12.0,False,,34.0
15693,"Faculty of Arts, Design and Architecture",P,SRAP5103,Research Report,064076,1,2021,Term 3,5,21T3,20215,False,5.88,,,5.88,11.76,17.65,5.88,52.94,,,,,,,,,,,,,11.76,,,,11.76,11.76,17.65,5.88,52.94,False,,48.53
15694,"Faculty of Arts, Design and Architecture",P,SRAP5107,Research Project,065624,1,2021,Term 3,5,21T3,20215,False,,,9.09,,,,54.55,9.09,,9.09,,,,,,18.18,,,,,9.09,9.09,,18.18,10.0,0.0,0.0,60.0,10.0,False,Notable other/continuing grades: EC 18.2%,30.0
15695,"Faculty of Arts, Design and Architecture",P,SUSD0003,Energy & the Built Environment,051792,1,2021,Term 3,5,21T3,20215,False,,,,2.04,2.04,18.37,61.22,16.33,,,,,,,,,,,,,2.04,,,,2.04,2.04,18.37,61.22,16.33,False,,49.49
15696,"Faculty of Arts, Design and Architecture",P,SUSD0004,Sustainability & Habitability,051793,1,2021,Term 3,5,21T3,20215,False,,,2.94,,14.71,35.29,41.18,2.94,,2.94,,,,,,,,,,,2.94,2.94,,,3.03,15.16,36.36,42.43,3.03,False,,30.3
15697,"Faculty of Arts, Design and Architecture",P,SUSD0015,Graduate Research Project,063903,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15698,Faculty of Medicine,P,SWCH9001,Basic Reproductive Physiology,057334,1,2021,Term 3,5,21T3,20215,False,,,3.7,3.7,,37.04,48.15,7.41,,,,,,,,,,,,,7.4,,,,7.4,0.0,37.04,48.15,7.41,False,,33.34
15699,Faculty of Medicine and Health,P,SWCH9004,Clinical Reproductive Med 1,057339,1,2021,Term 3,5,21T3,20215,False,2.63,,,,5.26,2.63,42.11,47.37,,,,,,,,,,,,,2.63,,,,2.63,5.26,2.63,42.11,47.37,False,,66.45
15700,Faculty of Medicine,P,SWCH9011,Repro Epi Biostats,063269,1,2021,Term 3,5,21T3,20215,False,,,,,5.26,31.58,57.89,5.26,,,,,,,,,,,,,,,,,0.0,5.26,31.58,57.89,5.26,False,,42.1
15701,Faculty of Medicine,P,SWCH9012,Infections in Reproduction,063270,1,2021,Term 3,5,21T3,20215,False,6.45,,,,,22.58,25.81,45.16,,,,,,,,,,,,,6.45,,,,6.45,0.0,22.58,25.81,45.16,False,,57.26
15702,Faculty of Medicine,P,SWCH9014,Antenatal Care,063391,1,2021,Term 3,5,21T3,20215,False,3.45,,,,10.34,41.38,37.93,6.9,,,,,,,,,,,,,3.45,,,,3.45,10.34,41.38,37.93,6.9,False,,32.76
15703,Faculty of Medicine,P,SWCH9016,Cancer in Women,063989,1,2021,Term 3,5,21T3,20215,False,3.45,,,,,,13.79,82.76,,,,,,,,,,,,,3.45,,,,3.45,0.0,0.0,13.79,82.76,False,,86.2
15704,Faculty of Medicine,P,SWCH9017,Applied Reprod Anat Physiol,063272,1,2021,Term 3,5,21T3,20215,False,7.41,,,,3.7,11.11,59.26,18.52,,,,,,,,,,,,,7.41,,,,7.41,3.7,11.11,59.26,18.52,False,,43.52
15705,Faculty of Medicine,P,SWCH9018,Male Fertility,066050,1,2021,Term 3,5,21T3,20215,False,,,,,11.76,5.88,41.18,41.18,,,,,,,,,,,,,,,,,0.0,11.76,5.88,41.18,41.18,False,,63.24
