Faculty,Academic Career,Course,Year,Term,FL,UF,AF,CN,EF,EM,PS,CR,DN,HD,SY,AS,CM,CO,EC,PE,AW,NC,NF,PW
Faculty of Engineering,Undergraduate,MINE4310 Mine Geotechnical Engineering 058257 1 UGRD,2024,2024 Term 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
Faculty of Engineering,Postgraduate,MINE5010 Fundamentals of Rock Behaviour 054844 1 PGRD,2024,2024 Term 1,,,,,,,6.25%,37.50%,50.00%,6.25%,,,,,,,,,,
Faculty of Engineering,Postgraduate,MINE5020 Geotechnical assessment 054845 1 PGRD,2024,2024 Term 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
Faculty of Engineering,Postgraduate,MINE8101 Fundamentals of Mining Eng 064177 1 PGRD,2024,2024 Term 1,,,,,,,,17.65%,35.29%,47.06%,,,,,,,,,,
Faculty of Engineering,Postgraduate,MINE8440 Mining Industry Research Proj 064170 1 PGRD,2024,2024 Term 1,4.00%,,,,,,12.00%,8.00%,44.00%,32.00%,,,,,,,,,,
Faculty of Engineering,Postgraduate,MINE8760 Mine Geol & Geophysics 013079 1 PGRD,2024,2024 Term 1,6.67%,,,,,,10.00%,20.00%,46.67%,16.67%,,,,,,,,,,
Faculty of Engineering,Postgraduate,MINE8780 Env Mgt for the Mining Ind 013081 1 PGRD,2024,2024 Term 1,,,3.85%,,,,15.38%,11.54%,46.15%,23.08%,,,,,,,,,,
Faculty of Engineering,Postgraduate,MINE8850 Mine Design and Feasibility 059175 1 PGRD,2024,2024 Term 1,,,4.17%,,,,25.00%,41.67%,12.50%,12.50%,,,,,,,4.17%,,,
Faculty of Engineering,Undergraduate,MMAN2700 Thermodynamics 058144 1 UGRD,2024,2024 Term 1,4.94%,,,,,,38.78%,27.76%,20.91%,6.84%,,,,,,,0.38%,,,0.38%
Faculty of Engineering,Undergraduate,MMAN3200 Linear Systems and Control 058205 1 UGRD,2024,2024 Term 1,8.30%,,,,,,32.02%,21.34%,19.37%,17.00%,,,,,,,0.79%,,1.19%,
Faculty of Engineering,Undergraduate,MMAN3400 Mechanics of Solids 2 058189 1 UGRD,2024,2024 Term 1,3.14%,,,,,,6.92%,9.43%,20.75%,59.75%,,,,,,,,,,
Faculty of Engineering,Undergraduate,MMAN4020 Thesis B 058195 1 UGRD,2024,2024 Term 1,,,,,,,2.30%,4.60%,66.67%,25.29%,,,,,,,,,,1.15%
Faculty of Engineering,Undergraduate,MMAN4410 Finite Element Methods 064127 1 UGRD,2024,2024 Term 1,1.92%,,,,,,1.92%,25.00%,40.38%,23.08%,,,,,,,5.77%,,1.92%,
Faculty of Engineering,Postgraduate,MMAN4410 Finite Element Methods 064127 2 PGRD,2024,2024 Term 1,3.17%,,,,,,36.51%,33.33%,23.81%,1.59%,,,,,,,1.59%,,,
Faculty of Engineering,Undergraduate,MMAN4951 Research Thesis A 065912 1 UGRD,2024,2024 Term 1,0.70%,,0.70%,,,,1.41%,,,,,,,,95.07%,,2.11%,,,
Faculty of Engineering,Undergraduate,MMAN4952 Research Thesis B 065913 1 UGRD,2024,2024 Term 1,4.17%,,,,,,,,,,,,,,95.83%,,,,,
Faculty of Engineering,Undergraduate,MMAN4953 Research Thesis C 065914 1 UGRD,2024,2024 Term 1,,,,,,,,18.18%,27.27%,50.00%,,,,,,,4.55%,,,
Faculty of Engineering,Postgraduate,MMAN9002 MEngSc Project B 064224 1 PGRD,2024,2024 Term 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
Faculty of Engineering,Postgraduate,MMAN9451 Masters Project A 065933 1 PGRD,2024,2024 Term 1,,,,,2.63%,,,,,,,,,,97.37%,,,,,
Faculty of Engineering,Postgraduate,MMAN9452 Masters Project B 065934 1 PGRD,2024,2024 Term 1,,,,,,,,,,,,,,,100.00%,,,,,
Faculty of Engineering,Postgraduate,MMAN9453 Masters Project C 065935 1 PGRD,2024,2024 Term 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
UNSW Business School,Postgraduate,MNGT5095 Foundations of Management 060130 1 PGRD,2024,2024 Term 1,3.28%,,,,,,,,,,96.72%,,,,,,,,,
UNSW Business School,Postgraduate,MNGT5374 Managerial Decision Making 060373 1 PGRD,2024,2024 Term 1,,,,,,,,21.05%,63.16%,15.79%,,,,,,,,,,
UNSW Business School,Postgraduate,MNGT5522 Mergers and Acquisitions 062561 1 PGRD,2024,2024 Term 1,,,,,,,,,63.64%,36.36%,,,,,,,,,,
UNSW Business School,Postgraduate,MNGT5544 GNAM Global Network Week FTINB 067030 1 PGRD,2024,2024 Term 1,,,,,,,,,,,100.00%,,,,,,,,,
UNSW Business School,Postgraduate,MNGT5589 Strategic Consulting Projects 060176 1 PGRD,2024,2024 Term 1,,,,,,,,,81.82%,18.18%,,,,,,,,,,
UNSW Business School,Postgraduate,MNGT5595 Work Integrated Learning 066757 1 PGRD,2024,2024 Term 1,,,,,,,,7.69%,69.23%,23.08%,,,,,,,,,,
"Faculty of Arts, Design and Architecture",Postgraduate,MODL5100 Research and Theories of T&I 056322 1 PGRD,2024,2024 Term 1,,,,,,,27.03%,35.14%,29.73%,8.11%,,,,,,,,,,
"Faculty of Arts, Design and Architecture",Postgraduate,MODL5101 Interpreting in Legal Settings 056323 1 PGRD,2024,2024 Term 1,,,,,,,31.48%,44.44%,20.37%,3.70%,,,,,,,,,,
"Faculty of Arts, Design and Architecture",Postgraduate,MODL5104 Specialised Translation 056326 1 PGRD,2024,2024 Term 1,,,1.85%,,,,3.70%,72.22%,18.52%,1.85%,,,,,,,,,1.85%,
"Faculty of Arts, Design and Architecture",Postgraduate,MODL5107 Translation Technology 057138 1 PGRD,2024,2024 Term 1,2.17%,,,,,,8.70%,36.96%,47.83%,4.35%,,,,,,,,,,
Faculty of Science,Undergraduate,MSCI1001 Introductory Marine Science 013283 1 UGRD,2024,2024 Term 1,2.13%,,,,,,25.53%,36.17%,23.40%,10.64%,,,,,,,2.13%,,,
Faculty of Science,Postgraduate,MSCI5005 Topics in Marine Bio & Ecol. 013299 1 PGRD,2024,2024 Term 1,,,,,,,33.33%,33.33%,,33.33%,,,,,,,,,,
Faculty of Science,Undergraduate,MSCI6681 Topics in Aust Marine Science 062517 1 UGRD,2024,2024 Term 1,,,,,,,20.00%,40.00%,20.00%,,,,,,,,20.00%,,,
Faculty of Science,Postgraduate,MSCI6681 Topics in Aust Marine Science 062517 2 PGRD,2024,2024 Term 1,,,,,,,15.79%,15.79%,26.32%,36.84%,,,,,,,,,5.26%,
Faculty of Engineering,Undergraduate,MTRN3020 Model & Cont of Mechatr Sys 062366 1 UGRD,2024,2024 Term 1,5.43%,,,,,,23.26%,37.21%,24.81%,8.53%,,,,,,,,,0.78%,
Faculty of Engineering,Undergraduate,MTRN4010 Advanced Autonomous Systems 058201 1 UGRD,2024,2024 Term 1,7.75%,,0.70%,,,,28.17%,21.13%,18.31%,18.31%,,,,,,,1.41%,,4.23%,
Faculty of Engineering,Postgraduate,MTRN4010 Advanced Autonomous Systems 058201 2 PGRD,2024,2024 Term 1,6.00%,,,,,,22.00%,20.00%,18.00%,20.00%,,,,,,,2.00%,,10.00%,2.00%
"Faculty of Arts, Design and Architecture",Undergraduate,MUSC1801 Music Craft 1 066857 1 UGRD,2024,2024 Term 1,4.00%,,,,,,8.00%,36.00%,44.00%,8.00%,,,,,,,,,,
"Faculty of Arts, Design and Architecture",Undergraduate,MUSC1804 BA Music Craft 1 066869 1 UGRD,2024,2024 Term 1,6.25%,,,,,,,18.75%,50.00%,12.50%,,,,,,,6.25%,,6.25%,
"Faculty of Arts, Design and Architecture",Undergraduate,MUSC1807 Music Literacies 1 066861 1 UGRD,2024,2024 Term 1,5.56%,,,,,,22.22%,19.44%,25.00%,22.22%,,,,,,,5.56%,,,
"Faculty of Arts, Design and Architecture",Undergraduate,MUSC1901 What's Music About? 066859 1 UGRD,2024,2024 Term 1,23.53%,,5.88%,,,,17.65%,26.47%,14.71%,8.82%,,,,,,,2.94%,,,
"Faculty of Arts, Design and Architecture",Undergraduate,MUSC2706 Music Ensemble 065835 1 UGRD,2024,2024 Term 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
"Faculty of Arts, Design and Architecture",Undergraduate,MUSC2901 Music Craft 4 066860 1 UGRD,2024,2024 Term 1,,,,,,,,7.69%,76.92%,15.38%,,,,,,,,,,
