Faculty,Academic Career,Course,Year,Term,FL,UF,AF,CN,EF,EM,PS,CR,DN,HD,SY,AS,CM,CO,EC,PE,AW,NC,NF,PW
Faculty of Science,Postgraduate,PSYC5001 Introduction to Psychology 1 065551 1 PGRD,2024,2024 Hexamester 1,,,,,,,2.50%,35.00%,32.50%,30.00%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5003 Data Analysis & Psych Inquiry 065550 1 PGRD,2024,2024 Hexamester 1,11.76%,,,,,,,47.06%,23.53%,17.65%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5004 Advanced Data Analysis 065563 1 PGRD,2024,2024 Hexamester 1,,,7.69%,,,,30.77%,7.69%,30.77%,15.38%,,,,,,,,,,7.69%
Faculty of Science,Postgraduate,PSYC5005 Behavioural Neuroscience 065562 1 PGRD,2024,2024 Hexamester 1,,,,,,,11.11%,33.33%,22.22%,33.33%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5006 Psychology Across the Lifespan 065561 1 PGRD,2024,2024 Hexamester 1,,,,,,,,33.33%,33.33%,33.33%,,,,,,,,,,
Faculty of Science,Postgraduate,"PSYC5007 Individual, Culture & Society 065560 1 PGRD",2024,2024 Hexamester 1,,,,,,,,29.41%,70.59%,,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5008 Perception and Cognition 065559 1 PGRD,2024,2024 Hexamester 1,,,,,,,6.25%,31.25%,37.50%,25.00%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5009 Abnormal Psychology 065558 1 PGRD,2024,2024 Hexamester 1,,,,,,,,68.75%,31.25%,,,,,,,,,,,
Faculty of Science,Postgraduate,"PSYC5010 Psychological Assessment, Ethi 065557 1 PGRD",2024,2024 Hexamester 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
Faculty of Science,Postgraduate,PSYC5116 Wellbeing and Resilience 066390 1 PGRD,2024,2024 Hexamester 1,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
UNSW Business School,Postgraduate (Online),ZZBU6003 Business Economics 066514 1 PGRO,2024,2024 Hexamester 1,7.59%,,5.06%,,,,3.80%,6.33%,16.46%,56.96%,,,,,,,3.80%,,,
UNSW Business School,Postgraduate (Online),ZZBU6006 Strategies for Disruption 066516 1 PGRO,2024,2024 Hexamester 1,,,4.35%,,,,4.35%,26.09%,60.87%,4.35%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6103 Entrepreneurship & Innovation 066591 1 PGRO,2024,2024 Hexamester 1,6.67%,,3.33%,,,,6.67%,23.33%,40.00%,20.00%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6404 HR Analytics 067186 1 PGRO,2024,2024 Hexamester 1,6.25%,,,,,,18.75%,56.25%,12.50%,,,,,,,,6.25%,,,
UNSW Business School,Postgraduate (Online),ZZBU6409 Change Management 067204 1 PGRO,2024,2024 Hexamester 1,6.25%,,6.25%,,,,4.69%,48.44%,28.13%,,,,,,,,3.13%,1.56%,,1.56%
UNSW Business School,Postgraduate (Online),ZZBU6503 Mging People Analytics Change 065975 1 PGRO,2024,2024 Hexamester 1,4.69%,,3.13%,,,,21.88%,25.00%,28.13%,12.50%,,,,,,,4.69%,,,
UNSW Business School,Postgraduate (Online),ZZBU6507 Data Visualistn & Communictn 065972 1 PGRO,2024,2024 Hexamester 1,3.33%,,,,,,1.11%,13.33%,53.33%,26.67%,,,,,,,2.22%,,,
UNSW Business School,Postgraduate (Online),ZZBU6513 Social Media & Dgtl Analytics 066381 1 PGRO,2024,2024 Hexamester 1,5.71%,,,,,,20.00%,34.29%,28.57%,11.43%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6601 General Analytics Capstone 066018 1 PGRO,2024,2024 Hexamester 1,,,,,,,10.00%,25.00%,40.00%,15.00%,,,,,,,10.00%,,,
UNSW Business School,Postgraduate (Online),ZZBU8503 RegTech Applications 066360 1 PGRO,2024,2024 Hexamester 1,,,,,,,,45.45%,36.36%,18.18%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8504 Technical Tools for FinTech 066352 1 PGRO,2024,2024 Hexamester 1,,,4.35%,,,,8.70%,4.35%,4.35%,78.26%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8509 Tech Disr in Funding & Lending 066350 1 PGRO,2024,2024 Hexamester 1,,,,,,,6.25%,31.25%,43.75%,18.75%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8702 Corporate Finance 066614 1 PGRO,2024,2024 Hexamester 1,7.37%,,2.11%,,,,16.84%,31.58%,28.42%,9.47%,,,,,,,4.21%,,,
UNSW Business School,Postgraduate (Online),ZZBU8704 Private Equity and Venture Cap 066616 1 PGRO,2024,2024 Hexamester 1,0.66%,,1.32%,,,,3.29%,17.11%,48.68%,22.37%,,,,,,,5.92%,,,0.66%
UNSW Canberra at ADFA,Postgraduate (Online),ZZCA6510 Decision Making in Analytics 066019 1 PGRO,2024,2024 Hexamester 1,5.56%,,,,,,6.94%,20.83%,36.11%,25.00%,,,,,,,4.17%,,,1.39%
UNSW Canberra at ADFA,Postgraduate (Online),ZZCA9204 Cybersecurity Ethics 066372 1 PGRO,2024,2024 Hexamester 1,9.28%,,1.03%,,,,18.56%,34.02%,31.96%,5.15%,,,,,,,,,,
UNSW Canberra at ADFA,Postgraduate (Online),ZZCA9205 Cyber Operations 066373 1 PGRO,2024,2024 Hexamester 1,2.20%,,,,,,9.89%,19.78%,43.96%,24.18%,,,,,,,,,,
UNSW Canberra at ADFA,Postgraduate (Online),ZZCA9211 Digital Forensics 066369 1 PGRO,2024,2024 Hexamester 1,,,,,,,18.18%,54.55%,27.27%,,,,,,,,,,,
Faculty of Engineering,Postgraduate (Online),ZZEN9201 Foundationscybersecurity 066447 1 PGRO,2024,2024 Hexamester 1,15.00%,,,,,,10.00%,15.00%,40.00%,5.00%,,,,,,,15.00%,,,
Faculty of Engineering,Postgraduate (Online),"ZZEN9444 Neural Networks, Deep Learning 066498 1 PGRO",2024,2024 Hexamester 1,1.92%,,,,,,5.77%,23.08%,38.46%,28.85%,,,,,,,,,,1.92%
Faculty of Science,Postgraduate (Online),ZZSC5806 Regress Analysis for Data Sci 066015 1 PGRO,2024,2024 Hexamester 1,1.61%,,,,,,12.90%,20.97%,30.65%,33.87%,,,,,,,,,,
Faculty of Science,Postgraduate (Online),ZZSC9001 Foundations of Data Science 066078 1 PGRO,2024,2024 Hexamester 1,3.61%,,2.41%,,,,18.07%,15.66%,31.33%,27.71%,,,,,,,1.20%,,,
Faculty of Science,Postgraduate,PSYC5002 Introduction to Psychology 2 065549 1 PGRD,2024,2024 Hexamester 2,3.77%,,,,,,7.55%,20.75%,43.40%,18.87%,,,,,,,5.66%,,,
Faculty of Science,Postgraduate,PSYC5003 Data Analysis & Psych Inquiry 065550 1 PGRD,2024,2024 Hexamester 2,,,5.88%,,,,,35.29%,29.41%,29.41%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5004 Advanced Data Analysis 065563 1 PGRD,2024,2024 Hexamester 2,,,,,,,41.18%,17.65%,35.29%,,,,,,,,,,,5.88%
Faculty of Science,Postgraduate,PSYC5005 Behavioural Neuroscience 065562 1 PGRD,2024,2024 Hexamester 2,,,,,,,,28.57%,28.57%,35.71%,,,,,,,7.14%,,,
Faculty of Science,Postgraduate,PSYC5006 Psychology Across the Lifespan 065561 1 PGRD,2024,2024 Hexamester 2,,,6.25%,,,,25.00%,25.00%,37.50%,6.25%,,,,,,,,,,
Faculty of Science,Postgraduate,"PSYC5007 Individual, Culture & Society 065560 1 PGRD",2024,2024 Hexamester 2,,,,,,,,21.05%,73.68%,5.26%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5008 Perception and Cognition 065559 1 PGRD,2024,2024 Hexamester 2,,,,,,,8.33%,37.50%,33.33%,16.67%,,,,,,,,,,4.17%
Faculty of Science,Postgraduate,PSYC5009 Abnormal Psychology 065558 1 PGRD,2024,2024 Hexamester 2,,,,,,,9.09%,22.73%,27.27%,36.36%,,,,,,,,,,4.55%
Faculty of Science,Postgraduate,"PSYC5010 Psychological Assessment, Ethi 065557 1 PGRD",2024,2024 Hexamester 2,,,,,,,6.67%,33.33%,46.67%,13.33%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5112 Introduction to Psychology 066394 1 PGRD,2024,2024 Hexamester 2,,,,,,,,7.69%,38.46%,38.46%,,,,,,,15.38%,,,
UNSW Business School,Postgraduate (Online),ZZBU6004 Foundations of Marketing 066515 1 PGRO,2024,2024 Hexamester 2,9.80%,,5.88%,,,,9.80%,29.41%,35.29%,1.96%,,,,,,,5.88%,1.96%,,
UNSW Business School,Postgraduate (Online),"ZZBU6005 Law, Regulation and Ethics 066517 1 PGRO",2024,2024 Hexamester 2,8.51%,,,,,,17.02%,34.04%,31.91%,,,,,,,,6.38%,2.13%,,
UNSW Business School,Postgraduate (Online),ZZBU6007 Career Navigator 066518 1 PGRO,2024,2024 Hexamester 2,3.45%,,,,,,,,,,96.55%,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6403 Sustainability & HR 067189 1 PGRO,2024,2024 Hexamester 2,4.76%,,2.38%,,,,2.38%,35.71%,42.86%,7.14%,,,,,,,4.76%,,,
UNSW Business School,Postgraduate (Online),"ZZBU6405 Attract, Eval & Retain Talent 067180 1 PGRO",2024,2024 Hexamester 2,5.88%,,5.88%,,,,14.71%,35.29%,20.59%,5.88%,,,,,,,11.76%,,,
UNSW Business School,Postgraduate (Online),ZZBU6407 HR Info Systems 067192 1 PGRO,2024,2024 Hexamester 2,5.00%,,5.00%,,,,,30.00%,50.00%,10.00%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6501 Introductory Data Analysis 065976 1 PGRO,2024,2024 Hexamester 2,6.67%,,3.33%,,,,5.00%,15.00%,25.00%,41.67%,,,,,,,3.33%,,,
UNSW Business School,Postgraduate (Online),ZZBU6505 Data and Ethics 065973 1 PGRO,2024,2024 Hexamester 2,3.23%,,,,,,12.90%,43.01%,35.48%,2.15%,,,,,,,3.23%,,,
UNSW Business School,Postgraduate (Online),ZZBU6508 Analytics and Consulting 066021 1 PGRO,2024,2024 Hexamester 2,,,3.33%,,,,3.33%,20.00%,63.33%,6.67%,,,,,,,3.33%,,,
UNSW Business School,Postgraduate (Online),ZZBU6512 Foundation Marketing Analytics 066382 1 PGRO,2024,2024 Hexamester 2,,,,,,,,27.27%,63.64%,9.09%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6516 Database Management 067082 1 PGRO,2024,2024 Hexamester 2,7.69%,,,,,,15.38%,23.08%,30.77%,23.08%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8501 FinTech Ecosystem & In Insight 066356 1 PGRO,2024,2024 Hexamester 2,,,,,,,,,56.00%,40.00%,,,,,,,4.00%,,,
UNSW Business School,Postgraduate (Online),ZZBU8502 Decentralised Finance 066353 1 PGRO,2024,2024 Hexamester 2,6.67%,,,,,,3.33%,10.00%,63.33%,16.67%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8601 Managing a FinTech Startup 066349 1 PGRO,2024,2024 Hexamester 2,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
UNSW Business School,Postgraduate (Online),ZZBU8701 Portfolio Management 066613 1 PGRO,2024,2024 Hexamester 2,9.01%,,,,,,12.61%,17.12%,29.73%,27.03%,,,,,,,4.50%,,,
UNSW Business School,Postgraduate (Online),ZZBU8706 Fixed Income 066718 1 PGRO,2024,2024 Hexamester 2,1.50%,,,,,,4.51%,11.28%,30.08%,48.87%,,,,,,,3.76%,,,
UNSW Canberra at ADFA,Postgraduate (Online),ZZCA9206 Cyber Risk Resilience 066370 1 PGRO,2024,2024 Hexamester 2,4.00%,,,,,,9.33%,49.33%,33.33%,,,,,,,,2.67%,1.33%,,
Faculty of Engineering,Postgraduate (Online),ZZEN9021 Principles of Programming 066097 1 PGRO,2024,2024 Hexamester 2,2.84%,,,,,,13.07%,18.18%,37.50%,26.70%,,,,,,,1.70%,,,
Faculty of Engineering,Postgraduate (Online),ZZEN9201 Foundationscybersecurity 066447 1 PGRO,2024,2024 Hexamester 2,24.32%,,,,,,8.11%,13.51%,35.14%,16.22%,,,,,,,2.70%,,,
Faculty of Engineering,Postgraduate (Online),ZZEN9203 principlessecengineering 066417 1 PGRO,2024,2024 Hexamester 2,8.00%,,,,,,24.00%,26.67%,26.67%,6.67%,,,,,,,6.67%,,,1.33%
Faculty of Engineering,Postgraduate (Online),ZZEN9213 Penetration Testing 066564 1 PGRO,2024,2024 Hexamester 2,,,,,,,5.17%,15.52%,56.90%,20.69%,,,,,,,1.72%,,,
Faculty of Science,Postgraduate (Online),ZZSC5960 Bayesian Inf for Data Sci 066012 1 PGRO,2024,2024 Hexamester 2,2.20%,,,,,,3.30%,9.89%,25.27%,58.24%,,,,,,,1.10%,,,
Faculty of Science,Postgraduate (Online),ZZSC9020 Data Science Project 066077 1 PGRO,2024,2024 Hexamester 2,,,,,,,,,45.61%,54.39%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5001 Introduction to Psychology 1 065551 1 PGRD,2024,2024 Hexamester 3,3.03%,,3.03%,,,,9.09%,36.36%,33.33%,15.15%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5003 Data Analysis & Psych Inquiry 065550 1 PGRD,2024,2024 Hexamester 3,7.14%,,,,,,14.29%,35.71%,28.57%,14.29%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5004 Advanced Data Analysis 065563 1 PGRD,2024,2024 Hexamester 3,7.14%,,,,,,28.57%,14.29%,35.71%,,,,,,,,14.29%,,,
Faculty of Science,Postgraduate,PSYC5005 Behavioural Neuroscience 065562 1 PGRD,2024,2024 Hexamester 3,,,,,,,23.08%,7.69%,38.46%,30.77%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5006 Psychology Across the Lifespan 065561 1 PGRD,2024,2024 Hexamester 3,,,,,,,6.67%,33.33%,46.67%,13.33%,,,,,,,,,,
Faculty of Science,Postgraduate,"PSYC5007 Individual, Culture & Society 065560 1 PGRD",2024,2024 Hexamester 3,7.14%,,,,,,,21.43%,57.14%,14.29%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5008 Perception and Cognition 065559 1 PGRD,2024,2024 Hexamester 3,,,4.55%,,,,,40.91%,45.45%,9.09%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5009 Abnormal Psychology 065558 1 PGRD,2024,2024 Hexamester 3,,,,,,,5.26%,47.37%,36.84%,10.53%,,,,,,,,,,
Faculty of Science,Postgraduate,"PSYC5010 Psychological Assessment, Ethi 065557 1 PGRD",2024,2024 Hexamester 3,4.55%,,,,,,13.64%,27.27%,27.27%,27.27%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5111 Evaluating Evidence 066395 1 PGRD,2024,2024 Hexamester 3,,,,,,,,18.18%,54.55%,27.27%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6001 Managing Yourself and Others 066512 1 PGRO,2024,2024 Hexamester 3,14.52%,,,,,,3.23%,17.74%,58.06%,4.84%,,,,,,,,,,1.61%
UNSW Business School,Postgraduate (Online),ZZBU6101 Digital Technology Management 066520 1 PGRO,2024,2024 Hexamester 3,,,,,,,2.50%,40.00%,55.00%,,,,,,,,2.50%,,,
UNSW Business School,Postgraduate (Online),ZZBU6401 HR Policies & Practices 067185 1 PGRO,2024,2024 Hexamester 3,5.00%,,3.33%,,,,11.67%,36.67%,30.00%,8.33%,,,,,,,5.00%,,,
UNSW Business School,Postgraduate (Online),"ZZBU6406 Diversity, Equity & Inclusion 067187 1 PGRO",2024,2024 Hexamester 3,4.00%,,8.00%,,,,8.00%,32.00%,40.00%,4.00%,,,,,,,4.00%,,,
UNSW Business School,Postgraduate (Online),ZZBU6411 Organisational Development 067182 1 PGRO,2024,2024 Hexamester 3,2.63%,,2.63%,,,,,39.47%,39.47%,13.16%,,,,,,,,,,2.63%
UNSW Business School,Postgraduate (Online),ZZBU6503 Mging People Analytics Change 065975 1 PGRO,2024,2024 Hexamester 3,3.53%,,3.53%,,,,15.29%,37.65%,23.53%,15.29%,,,,,,,1.18%,,,
UNSW Business School,Postgraduate (Online),ZZBU6509 Financial Modelling 066020 1 PGRO,2024,2024 Hexamester 3,3.45%,,,,,,34.48%,24.14%,13.79%,24.14%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6511 Predictive Analytics 066051 1 PGRO,2024,2024 Hexamester 3,,,,,,,8.89%,36.67%,42.22%,8.89%,,,,,,,3.33%,,,
UNSW Business School,Postgraduate (Online),ZZBU6514 Managing Customer Analytics 066379 1 PGRO,2024,2024 Hexamester 3,,,,,,,,33.33%,52.38%,9.52%,,,,,,,4.76%,,,
UNSW Business School,Postgraduate (Online),ZZBU6601 General Analytics Capstone 066018 1 PGRO,2024,2024 Hexamester 3,,,,,,,6.67%,13.33%,73.33%,,,,,,,,6.67%,,,
UNSW Business School,Postgraduate (Online),ZZBU8506 Data Mgmt for FinTech 066355 1 PGRO,2024,2024 Hexamester 3,,,,,,,,,38.46%,61.54%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8508 Tech Disr in Payments & Transf 066351 1 PGRO,2024,2024 Hexamester 3,6.25%,,2.08%,,,,10.42%,39.58%,33.33%,6.25%,,,,,,,2.08%,,,
UNSW Business School,Postgraduate (Online),ZZBU8703 International Finance 066615 1 PGRO,2024,2024 Hexamester 3,6.93%,,2.97%,,,,8.91%,10.89%,33.66%,31.68%,,,,,,,4.95%,,,
UNSW Business School,Postgraduate (Online),ZZBU8708 Ethics and Prof Standards 066720 1 PGRO,2024,2024 Hexamester 3,2.82%,,1.41%,,,,4.23%,19.01%,69.72%,2.11%,,,,,,,0.70%,,,
UNSW Canberra at ADFA,Postgraduate (Online),ZZCA9202 Data Security Privacy 066374 1 PGRO,2024,2024 Hexamester 3,3.06%,,3.06%,,,,12.24%,24.49%,36.73%,15.31%,,,,,,,5.10%,,,
UNSW Canberra at ADFA,Postgraduate (Online),ZZCA9222 Cyber Threats Crime 066368 1 PGRO,2024,2024 Hexamester 3,,,,,,,8.93%,50.00%,35.71%,3.57%,,,,,,,1.79%,,,
Faculty of Engineering,Postgraduate (Online),ZZEN9212 Advanced Penetration Testing 066563 1 PGRO,2024,2024 Hexamester 3,3.23%,,,,,,3.23%,32.26%,41.94%,19.35%,,,,,,,,,,
Faculty of Engineering,Postgraduate (Online),ZZEN9216 C Assembler Coding 066562 1 PGRO,2024,2024 Hexamester 3,,,,,,,2.00%,6.00%,8.00%,84.00%,,,,,,,,,,
Faculty of Engineering,Postgraduate (Online),ZZEN9311 Database Systems 066096 1 PGRO,2024,2024 Hexamester 3,7.81%,,1.56%,,,,15.63%,14.06%,32.81%,25.00%,,,,,,,3.13%,,,
Faculty of Science,Postgraduate (Online),ZZSC5836 Data Mining & Machine Learning 066016 1 PGRO,2024,2024 Hexamester 3,,,,,,,5.00%,20.00%,40.00%,32.50%,,,,,,,2.50%,,,
Faculty of Science,Postgraduate (Online),ZZSC5905 Stat Infer for Data Scientists 066013 1 PGRO,2024,2024 Hexamester 3,4.71%,,,,,,8.24%,12.94%,28.24%,43.53%,,,,,,,2.35%,,,
Faculty of Science,Postgraduate,PSYC5002 Introduction to Psychology 2 065549 1 PGRD,2024,2024 Hexamester 4,4.17%,,,,,,8.33%,16.67%,37.50%,16.67%,,,,,,,16.67%,,,
Faculty of Science,Postgraduate,PSYC5003 Data Analysis & Psych Inquiry 065550 1 PGRD,2024,2024 Hexamester 4,6.25%,,,,,,25.00%,31.25%,25.00%,12.50%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5004 Advanced Data Analysis 065563 1 PGRD,2024,2024 Hexamester 4,4.17%,4.17%,,,,,20.83%,25.00%,25.00%,8.33%,,,,,,,12.50%,,,
Faculty of Science,Postgraduate,PSYC5005 Behavioural Neuroscience 065562 1 PGRD,2024,2024 Hexamester 4,,,,,,,18.18%,27.27%,36.36%,9.09%,,,,,,,9.09%,,,
Faculty of Science,Postgraduate,PSYC5006 Psychology Across the Lifespan 065561 1 PGRD,2024,2024 Hexamester 4,REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b)),REDACTED (GIPA s.3(a)/3(b))
Faculty of Science,Postgraduate,"PSYC5007 Individual, Culture & Society 065560 1 PGRD",2024,2024 Hexamester 4,8.33%,,,,,,,25.00%,50.00%,16.67%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5008 Perception and Cognition 065559 1 PGRD,2024,2024 Hexamester 4,,,,,,,20.00%,20.00%,46.67%,13.33%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5009 Abnormal Psychology 065558 1 PGRD,2024,2024 Hexamester 4,5.00%,,,,,,5.00%,30.00%,50.00%,5.00%,,,,,,,5.00%,,,
Faculty of Science,Postgraduate,"PSYC5010 Psychological Assessment, Ethi 065557 1 PGRD",2024,2024 Hexamester 4,,,,,,,5.00%,25.00%,40.00%,30.00%,,,,,,,,,,
Faculty of Science,Postgraduate,PSYC5113 Child Development 066393 1 PGRD,2024,2024 Hexamester 4,,,,,,,,9.09%,63.64%,27.27%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU5611 Strategic Decision Making 066022 1 PGRO,2024,2024 Hexamester 4,3.85%,,1.92%,,,,38.46%,23.08%,13.46%,13.46%,,,,,,,3.85%,,,1.92%
UNSW Business School,Postgraduate (Online),ZZBU6002 Financial Management 066513 1 PGRO,2024,2024 Hexamester 4,2.60%,,2.60%,,,,15.58%,38.96%,29.87%,9.09%,,,,,,,1.30%,,,
UNSW Business School,Postgraduate (Online),ZZBU6008 Strategic Consulting Project 066519 1 PGRO,2024,2024 Hexamester 4,3.57%,,,,,,,,,,96.43%,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6402 Employee Wellbeing & Engagemen 067178 1 PGRO,2024,2024 Hexamester 4,7.14%,,3.57%,,,,10.71%,32.14%,42.86%,3.57%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6410 Human Resource Strategies 067190 1 PGRO,2024,2024 Hexamester 4,2.38%,,2.38%,,,,19.05%,35.71%,28.57%,4.76%,,,,,,,4.76%,,2.38%,
UNSW Business School,Postgraduate (Online),ZZBU6413 Leadership Development 067179 1 PGRO,2024,2024 Hexamester 4,1.85%,,3.70%,,,,22.22%,40.74%,20.37%,3.70%,,,,,,,7.41%,,,
UNSW Business School,Postgraduate (Online),ZZBU6501 Introductory Data Analysis 065976 1 PGRO,2024,2024 Hexamester 4,5.00%,,1.25%,,,,5.00%,11.25%,27.50%,42.50%,,,,,,,6.25%,,1.25%,
UNSW Business School,Postgraduate (Online),ZZBU6502 Analytics and Business 065977 1 PGRO,2024,2024 Hexamester 4,1.18%,,2.35%,,,,7.06%,37.65%,44.71%,2.35%,,,,,,,1.18%,1.18%,,2.35%
UNSW Business School,Postgraduate (Online),ZZBU6513 Social Media & Dgtl Analytics 066381 1 PGRO,2024,2024 Hexamester 4,,,,,,,14.29%,50.00%,35.71%,,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6515 Marketing Analytics Capstone 066380 1 PGRO,2024,2024 Hexamester 4,,,,,,,18.18%,27.27%,54.55%,,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU6516 Database Management 067082 1 PGRO,2024,2024 Hexamester 4,9.33%,,,,,,17.33%,29.33%,26.67%,12.00%,,,,,,,5.33%,,,
UNSW Business School,Postgraduate (Online),ZZBU8503 RegTech Applications 066360 1 PGRO,2024,2024 Hexamester 4,,,,,,,15.38%,23.08%,53.85%,7.69%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8504 Technical Tools for FinTech 066352 1 PGRO,2024,2024 Hexamester 4,5.41%,,,,,,10.81%,8.11%,5.41%,67.57%,,,,,,,2.70%,,,
UNSW Business School,Postgraduate (Online),ZZBU8509 Tech Disr in Funding & Lending 066350 1 PGRO,2024,2024 Hexamester 4,5.88%,,,,,,5.88%,17.65%,41.18%,29.41%,,,,,,,,,,
UNSW Business School,Postgraduate (Online),ZZBU8702 Corporate Finance 066614 1 PGRO,2024,2024 Hexamester 4,13.83%,,,,,,17.02%,21.28%,24.47%,17.02%,,,,,,,6.38%,,,
